Time,Force,D1,D2,D3,D4,D5,D6,D7,D8
0,0,0,0,0,0,0,0,0,0
0.0002,0,0,0,0.001185873,0,0,0,0,0
0.0004,0,0,0,0.001771939,0,0,0,0,0
0.0006,0,0,0,0.00230621,0,0,0,0,0
0.0008,0,0,0,0.003256331,0,0,0,0,0
0.001,0,0,0,0.005576626,0,0,0,0,0
0.0012,0,0,0,0.008871454,0,0,0,0,0
0.0014,0,0,0,0.011587873,0,0,0,0,0
0.0016,0,0,0,0.014362332,0,0,0,0,0
0.0018,0,0,0,0.016729719,0,0,0,0,0
0.002,0,0,0,0.018290685,0,0,0,0,0
0.0022,0,0,0,0.019579496,0,0,0,0,0
0.0024,0,0,0,0.020868951,0,0,0,0,0
0.0026,0,0,0,0.022438957,0,0,0,0,0
0.0028,0,0,0,0.02541864,0,0,0,0,0
0.003,0,0,0,0.028876801,0,0,0,0,0
0.0032,0,0,0,0.032349561,0,0,0,0,0
0.0034,0,0,0,0.035312896,0,0,0,0,0
0.0036,0,0,0,0.036646866,0,0,0,0,0
0.0038,0,0,0,0.037232767,0,0,0,0,0
0.004,0,0,0,0.037818805,0,0,0,0,0
0.0042,74.26830697,0,0,0.038770182,0,0,0,0,0
0.0044,445.6174091,0,0,0.040528312,0,0,0,0,0
0.0046,931.0834798,0,0,0.042520328,0,0.000762507,0,0,0
0.0048,1413.580363,0,0,0.044587163,0,0.000924971,0,0,0
0.005,1863.387698,0.00121775,0,0.047491037,0,0.001307909,0,0,0
0.0052,2211.788401,0.007193146,0,0.05095911,0,0.002456122,0,0,0
0.0054,2471.533705,0.017363072,0.00256272,0.054806448,0,0.004032884,0,0,0
0.0056,2796.76696,0.033775571,0.009850264,0.060081429,0,0.006125073,0,0,0
0.0058,3211.417223,0.057072583,0.021927592,0.067692443,0.004035149,0.009649385,0,0,0
0.006,3515.800879,0.088195782,0.040722144,0.08074007,0.012332865,0.015185413,0,0,0
0.0062,3736.267194,0.127033509,0.066531166,0.100690861,0.025061629,0.023222906,0,0,0
0.0064,3960.55,0.1751,0.0993,0.1279,0.04325,0.03425,0.00135,0,0
0.0066,4201.22812,0.233111189,0.139594552,0.162567663,0.067553017,0.04951031,0.005320562,0,-0.000470357
0.0068,4409.115641,0.302196134,0.188480316,0.204381371,0.098029877,0.069990685,0.011577153,0,-0.001374868
0.007,4659.054657,0.382633743,0.246403163,0.254797188,0.135399473,0.096427065,0.020372408,5.06151E-05,-0.001601582
0.0072,4935.45536,0.475596837,0.314710135,0.315029174,0.180817165,0.128961336,0.033630756,0.004043585,-0.001737493
0.0074,5163.931477,0.579647948,0.393322567,0.383701231,0.23375041,0.168094842,0.050385053,0.009532532,-0.001756272
0.0076,5392.411599,0.695046983,0.482672994,0.461459578,0.294942589,0.214010076,0.070954892,0.015881781,-0.001234329
0.0078,5672.271002,0.823389104,0.582403515,0.549403339,0.36444464,0.266781019,0.095957821,0.023942707,-0.000718805
0.008,5943.907151,0.96465551,0.693139156,0.647162485,0.442484994,0.326920223,0.12545381,0.035214009,0.000275147
0.0082,6173.151787,1.117786233,0.815148975,0.75616157,0.529319566,0.394794728,0.159665319,0.049360808,0.002235911
0.0084,6349.8,1.28127163,0.948027491,0.876809906,0.62641524,0.470917351,0.199699004,0.06634197,0.005787104
0.0086,6530.731693,1.452125483,1.090594669,1.007382601,0.733037903,0.554996544,0.24525495,0.086345987,0.010475571
0.0088,6673.499121,1.627802109,1.240635677,1.146911599,0.848126362,0.647303515,0.296413708,0.110228822,0.017224253
0.009,6816.331477,1.807060961,1.395457503,1.29284279,0.970573798,0.74663136,0.353223329,0.138188218,0.026149179
0.0092,6959.174107,1.988190334,1.553418102,1.442302343,1.098489514,0.852161043,0.415166608,0.169813005,0.036818922
0.0094,7077.503341,2.169544842,1.713488335,1.593056858,1.230171864,0.962962134,0.482371161,0.205288277,0.049351114
0.0096,7214.289279,2.350597598,1.874070006,1.744318922,1.363716755,1.076914353,0.554884417,0.24505536,0.064127065
0.0098,7359.357821,2.531256063,2.033990334,1.895737786,1.497753076,1.191735677,0.631317926,0.289160808,0.08153304
0.01,7544.811606,2.712040035,2.194267526,2.047395369,1.632185463,1.307184877,0.710911899,0.336820281,0.101706917
0.0102,7697.535267,2.892789865,2.355126596,2.199230931,1.767411541,1.424043644,0.792650088,0.387642648,0.124643117
0.0104,7817.488401,3.072496954,2.515618688,2.351732396,1.902947569,1.542262742,0.875743234,0.441022847,0.150302168
0.0106,7956.170064,3.250166608,2.675498653,2.505372818,2.039195313,1.662084944,0.960618981,0.496835032,0.179148272
0.0108,8070.31652,3.424563796,2.834505097,2.658924077,2.176043585,1.781822496,1.046439719,0.554259754,0.209892267
0.011,8162.511606,3.595592673,2.991436635,2.811205451,2.312333822,1.901898124,1.132820516,0.613308441,0.241896366
0.0112,8219.641066,3.762222789,3.145597071,2.960709256,2.446070767,2.020969889,1.219905448,0.673516286,0.27553966
0.0114,8276.779906,3.923891213,3.296659754,3.106335501,2.576278149,2.138073579,1.306677563,0.734010721,0.310820269
0.0116,8333.887046,4.080568113,3.443332181,3.247187515,2.70295721,2.253158558,1.393401055,0.794981419,0.346746249
0.0118,8422.20826,4.232384007,3.584292091,3.382987522,2.825653427,2.366042707,1.48017768,0.856695431,0.383214763
0.012,8544.084818,4.380784584,3.720935346,3.51434197,2.945430129,2.476561958,1.565463482,0.918521102,0.420322626
0.0122,8675.13638,4.526729643,3.854303515,3.641781136,3.062563093,2.58414505,1.649491564,0.980825659,0.45873304
0.0124,8773.362507,4.670612478,3.985523199,3.766683304,3.177965554,2.688669947,1.732425366,1.042580785,0.498011306
0.0126,8838.835932,4.812984291,4.116001758,3.889983763,3.292040563,2.790643904,1.813252521,1.103337866,0.53776061
0.0128,8896,4.9535,4.2461,4.0125,3.4046,2.8908,1.8922,1.1632,0.578
0.013,8948.890621,5.089055862,4.374497128,4.133604045,3.515592673,2.989372157,1.969415064,1.221901465,0.618005041
0.0132,8960.709373,5.219917106,4.499532103,4.253369244,3.624664851,3.08636362,2.045955243,1.279853193,0.657554306
0.0134,8944.7,5.345887815,4.619452431,4.370627592,3.730890978,3.182012127,2.122102871,1.337512244,0.69676696
0.0136,8927.99197,5.466994959,4.733700762,4.483000645,3.834668933,3.276474619,2.197404689,1.39E+00,0.735589918
0.0138,8899.43058,5.583537083,4.842750967,4.589660281,3.934977329,3.368705272,2.272229877,1.450521617,0.77400246
0.014,8895.24197,5.696523388,4.947299707,4.690338159,4.030954279,3.458392732,2.34620129,1.506063247,0.811994138
0.0142,8876.560047,5.806706737,5.049043117,4.785701465,4.123172935,3.544373579,2.41765618,1.561111892,0.849586292
0.0144,8896,5.916405624,5.150081195,4.878781722,4.212981957,3.627044933,2.487195723,1.615284124,0.887847569
0.0146,8909.344197,6.027437691,5.251260961,4.97146864,4.301262309,3.707379367,2.554544783,1.669147714,0.926975615
0.0148,8920.4,6.14088348,5.353036028,5.065623199,4.388463445,3.78625993,2.61956239,1.721814938,0.966136204
0.015,8942.037961,6.256098477,5.456037786,5.16195126,4.47519338,3.864493087,2.683084359,1.772945577,1.005330111
0.0152,8892.941066,6.372349502,5.561304159,5.260753134,4.562963913,3.943231107,2.746253544,1.823551494,1.044224663
0.0154,8830.070533,6.488998594,5.668041125,5.360952314,4.652243351,4.022434388,2.808889748,1.872877797,1.081975103
0.0156,8754.317409,6.604202696,5.775268523,5.461653107,4.742925264,4.102488101,2.871473036,1.921154748,1.119195721
0.0158,8683.13304,6.716729701,5.882043409,5.561747627,4.8347471,4.183874517,2.934465378,1.969379965,1.15594007
0.016,8579.189279,6.826086467,5.986812009,5.660737668,4.92713843,4.26618969,2.997917047,2.017543995,1.192195489
0.0162,8464.901114,6.931261547,6.088387632,5.758237104,5.019003517,4.349080422,3.061843376,2.065234818,1.227930012
0.0164,8323.98348,7.030848506,6.186007909,5.852064206,5.108857996,4.43167686,3.126283363,2.113930463,1.263896309
0.0166,8194.162954,7.125697479,6.278966413,5.942294666,5.196377726,4.512090739,3.191163658,2.164556917,1.300158089
0.0168,8108.410721,7.216714587,6.367901933,6.029326714,5.280026362,4.58974464,3.256243585,2.216186116,1.336740949
0.017,8007.89754,7.303814763,6.453849209,6.112565144,5.359454599,4.664865905,3.320543527,2.268211892,1.374018043
0.0172,7893.617409,7.386917057,6.536326377,6.192463658,5.435563306,4.737888042,3.383680891,2.320604924,1.412463013
0.0174,7756.20826,7.466631869,6.616027182,6.269344347,5.508599004,4.808302109,3.445534856,2.37281447,1.451439367
0.0176,7588.992849,7.541816178,6.692403341,6.342753634,5.579116413,4.876204162,3.50593007,2.423818757,1.490820047
0.0178,7446.1942,7.610865378,6.764742531,6.412807909,5.647270299,4.942454482,3.565061511,2.47366362,1.53052812
0.018,7291.982132,7.67340785,6.832369947,6.478513825,5.713069947,5.006238899,3.622823667,2.52303679,1.570574985
0.0182,7105,7.729935346,6.894246542,6.539262134,5.775779426,5.066882474,3.679324502,2.57150381,1.610583118
0.0184,6944.651787,7.780382777,6.950201699,6.594514177,5.833908026,5.123857996,3.733876684,2.619107733,1.650019977
0.0186,6777.912478,7.825205272,7.000235677,6.643845167,5.88640246,5.17679297,3.785607206,2.666165729,1.688974868
0.0188,6585.93304,7.865005272,7.044427592,6.687349385,5.93251529,5.225915817,3.834719156,2.711859402,1.727367838
0.019,6435.137493,7.901776216,7.084427592,6.726763562,5.973527592,5.270742999,3.881463152,2.75617106,1.76519795
0.0192,6275.95,7.9352,7.12195,6.7634,6.0105,5.31175,3.9258,2.79875,1.8028
0.0194,6133.090627,7.965129701,7.157389397,6.7971471,6.044314294,5.349262917,3.967785062,2.839044347,1.840267663
0.0196,6010.850439,7.993024253,7.190214236,6.82857065,6.07636116,5.383273462,4.007391388,2.877010369,1.877104218
0.0198,5847.857821,8.019527417,7.220684359,6.857247979,6.107190685,5.414392267,4.044466608,2.91266819,1.913361863
0.02,5724.492853,8.043461804,7.248724194,6.882724253,6.135961629,5.443317868,4.078692736,2.947142707,1.947498946
0.0202,5553.167409,8.064900645,7.273930129,6.906055217,6.163564361,5.471200293,4.110686049,2.980109437,1.981068757
0.0204,5368.8,8.08314505,7.297254892,6.92718594,6.18929877,5.49790205,4.140883538,3.011786819,2.01365249
0.0206,5220.328998,8.098165554,7.318742882,6.946096309,6.211653779,5.523443937,4.169331107,3.042647979,2.045099473
0.0208,5063.366061,8.10940129,7.337477257,6.962777022,6.230827315,5.547302931,4.19652837,3.072716237,2.075403751
0.021,4914.16116,8.116221851,7.352973345,6.976431166,6.247457704,5.568407674,4.223335735,3.100654482,2.104091974
0.0212,4701.647773,8.118568816,7.364174209,6.986686753,6.261051993,5.585511137,4.248947714,3.126866354,2.13126313
0.0214,4606.4,8.116849619,7.37140205,6.993523902,6.272694845,5.599146514,4.272819508,3.151910252,2.157635442
0.0216,4579.011599,8.111300703,7.37446239,6.996349912,6.282180492,5.610473989,4.294823023,3.17525413,2.183585062
0.0218,4396.55803,8.101008441,7.373871747,6.995084174,6.288578546,5.620008499,4.314965592,3.197287632,2.209605158
0.022,4095.329467,8.08543099,7.369965554,6.989606151,6.292428178,5.627346983,4.333175278,3.218965964,2.235166022
0.0222,3816.996659,8.064177081,7.361704807,6.980489215,6.2930051,5.633049472,4.34935891,3.240579894,2.259898183
0.0224,3686.314294,8.037396251,7.348772935,6.967498008,6.289324194,5.636225132,4.363426596,3.261002402,2.283652841
0.0226,3590.37522,8.006516344,7.330649912,6.950256063,6.281572583,5.63576116,4.375522671,3.279669069,2.305792267
0.0228,3476.105803,7.973042673,7.307711723,6.928724267,6.269652696,5.630518523,4.385234642,3.296534877,2.326947538
0.023,3417.8942,7.937440773,7.280800469,6.903295841,6.253568073,5.620496426,4.391645518,3.311594318,2.347699238
0.0232,3343.588401,7.90029959,7.25139215,6.874848272,6.233790685,5.606108612,4.394949561,3.324810486,2.368109315
0.0234,3149.710955,7.861554833,7.221428412,6.844142179,6.211809022,5.588747217,4.394969947,3.335998301,2.388440422
0.0236,2963.550439,7.819614587,7.191560808,6.812282777,6.187982425,5.570000879,4.392059578,3.345184007,2.40795536
0.0238,2776.588394,7.773767937,7.160022392,6.779023974,6.162541032,5.551204982,4.386998535,3.352401465,2.426079426
0.024,2565.214294,7.723959285,7.125285237,6.743372701,6.135773286,5.53164874,4.380474575,3.357737786,2.441588401
0.0242,2471.520094,7.670293204,7.086372525,6.704989572,6.106683656,5.509902988,4.37336034,3.361590158,2.454963913
0.0244,2367.129015,7.613128488,7.042871219,6.663027726,6.074854338,5.485071043,4.364445428,3.36423476,2.467276905
0.0246,2148.63058,7.552706151,6.994498067,6.617121441,6.039218102,5.455663269,4.353111248,3.364957821,2.478437258
0.0248,1954.384818,7.48971653,6.943359496,6.56824068,5.999133939,5.421852286,4.339369695,3.364356331,2.488561899
0.025,1768.184827,7.424381781,6.890904804,6.516647042,5.955053896,5.384315407,4.323087522,3.362291916,2.498075806
0.0252,1730.5,7.357110545,6.837515231,6.463318395,5.909017575,5.344957469,4.304045929,3.358144288,2.507383363
0.0254,1669.871864,7.288747186,6.783037749,6.408157972,5.862269871,5.30497374,4.283125791,3.351978957,2.515483646
0.0256,1511.1,7.2204,6.7267,6.3509,5.8152,5.2655,4.2607,3.3436,2.5218
0.0258,1388.490621,7.151074971,6.667837866,6.29202374,5.767830129,5.225571688,4.236370047,3.33371993,2.525912192
0.026,1217.090627,7.079342004,6.606977622,6.231783948,5.720635384,5.183707733,4.209818864,3.322558055,2.528415817
0.0262,1070.83638,7.005354892,6.544716344,6.170225659,5.671580902,5.139039895,4.181975864,3.310335442,2.529760867
0.0264,939.8535756,6.92850762,6.481089742,6.10771483,5.619277902,5.091671981,4.152904396,3.297155393,2.529618699
0.0266,734.2165202,6.848916872,6.415615641,6.044248506,5.563318981,5.041587873,4.121796134,3.282155888,2.528024956
0.0268,606.2709848,6.766863189,6.347204924,5.978688804,5.504259672,4.989383353,4.089439449,3.264884291,2.525200586
0.027,491.9801406,6.682097891,6.275252665,5.909637258,5.441919566,4.935889748,4.056847159,3.245222261,2.521246221
0.0272,368.6339192,6.594693087,6.200304804,5.836142238,5.376879145,4.881928412,4.02323966,3.224226362,2.51580041
0.0274,239.1779015,6.504287632,6.122548769,5.759058148,5.310053634,4.826494431,3.988010375,3.202154338,2.508690504
0.0276,72.37188049,6.411826889,6.042933743,5.679246221,5.241949912,4.768615993,3.951098243,3.179842707,2.500812127
0.0278,-40.69197422,6.317195372,5.96234792,5.597746514,5.17198389,4.707395138,3.911468483,3.156690978,2.492666842
0.028,-73.1,6.220591037,5.880943234,5.515405917,5.099088284,4.643058407,3.868943117,3.131377094,2.483342121
0.0282,-90.2294669,6.122946046,5.797240832,5.432992326,5.023892033,4.576508905,3.824584593,3.104358934,2.472844171
0.0284,-166.0232122,6.023628136,5.711196483,5.348787046,4.947389918,4.507889683,3.778470223,3.07495721,2.461453517
0.0286,-251.3752197,5.922206854,5.622435852,5.262307909,4.86980703,4.437923199,3.730604394,3.043557118,2.447641125
0.0288,-329.0178676,5.817888166,5.530986526,5.173136262,4.791784769,4.367558817,3.68145618,3.010179262,2.431852021
0.029,-341.2,5.710756741,5.437721219,5.080782239,4.713231125,4.296163365,3.63134449,2.975054396,2.414661606
0.0292,-341.2,5.601707967,5.342804628,4.985073404,4.634179379,4.223504277,3.579478969,2.939022437,2.396281547
0.0294,-328.2685229,5.491474326,5.246281067,4.886935873,4.553512661,4.149558968,3.525087163,2.903074678,2.377218699
0.0296,-281.8223199,5.379558172,5.148428295,4.787559402,4.470460808,4.074080316,3.469063445,2.866946573,2.357748155
0.0298,-268.1,5.266302168,5.04951324,4.687852314,4.384410428,3.99617522,3.412107381,2.829721031,2.337820797
0.03,-287.1651817,5.151670457,4.949024912,4.587715592,4.294822743,3.915886166,3.354635229,2.790533763,2.31687925
0.0302,-269.2435267,5.036030346,4.847563269,4.487030463,4.201935208,3.834080609,3.2970058,2.748882484,2.294599824
0.0304,-240.666061,4.9210017,4.745525264,4.386212661,4.108024209,3.750135639,3.238382415,2.704655686,2.270778195
0.0306,-212.1528998,4.807597715,4.64345993,4.28475993,4.014606327,3.665155712,3.17865536,2.658789807,2.24492812
0.0308,-183.5647335,4.69476819,4.541620445,4.183248506,3.922585237,3.580656591,3.117120504,2.611244405,2.218027124
0.031,-186.2325909,4.582415064,4.440401524,4.082785932,3.83209578,3.496911723,3.054139215,2.562903986,2.190515885
0.0312,-175.1741066,4.471071529,4.339703105,3.982953134,3.742828471,3.414441183,2.990172994,2.514542238,2.162499121
0.0314,-170.6,4.360786819,4.239255536,3.883344464,3.654195782,3.33270246,2.925277856,2.466153251,2.133887522
0.0316,-150.0165202,4.252434974,4.13986116,3.784176801,3.564377856,3.250525835,2.859972056,2.417761863,2.103939367
0.0318,-170.6,4.146269772,4.041934974,3.686597422,3.473509666,3.167474868,2.794364558,2.368590217,2.072478325
0.032,-182.8,4.0426,3.94565,3.5916,3.38255,3.08405,2.72775,2.31835,2.03965
